Entity;Code;Year;Share of global mismanaged plastic waste;Probability of plastic being emitted to ocean
Albania;ALB;2019;0.113046491;1.56
Algeria;DZA;2019;1.237707957;0.09
Angola;AGO;2019;0.383571002;0.09
Antigua and Barbuda;ATG;2019;0.001014995;3.08
Argentina;ARG;2019;0.754055528;0.26
Australia;AUS;2019;0.008524663;0.18
Bahamas;BHS;2019;0.003580812;2.04
Bahrain;BHR;2019;0.001688421;0.0
Bangladesh;BGD;2019;1.654409563;2.32
Barbados;BRB;2019;0.001411604;4.35
Belgium;BEL;2019;0.003697366;0.71
Belize;BLZ;2019;0.009746866;3.54
Benin;BEN;2019;0.215844283;0.14
Bosnia and Herzegovina;BIH;2019;0.089926619;0.95
Brazil;BRA;2019;5.336737155;0.24
Brunei;BRN;2019;0.001120218;10.22
Bulgaria;BGR;2019;0.005045837;0.13
Burkina Faso;BFA;2019;0.513645775;0.0
Cambodia;KHM;2019;0.400647849;0.63
Cameroon;CMR;2019;0.936965084;0.45
Canada;CAN;2019;0.038182916;0.55
Cape Verde;CPV;2019;0.005775921;0.0
Chile;CHL;2019;0.049805985;2.58
China;CHN;2019;19.86638327;0.19
Colombia;COL;2019;0.138333951;0.62
Comoros;COM;2019;0.095765674;0.0
Congo;COG;2019;0.105693847;0.08
Costa Rica;CRI;2019;0.009309787;6.25
Cote d'Ivoire;CIV;2019;0.47206821;0.0
Croatia;HRV;2019;0.028400436;0.0
Cyprus;CYP;2019;0.001354946;0.62
Democratic Republic of Congo;COD;2019;2.217335209;0.01
Denmark;DNK;2019;0.000631337;2.33
Djibouti;DJI;2019;0.016655956;0.22
Dominica;DMA;2019;0.001751554;7.73
Dominican Republic;DOM;2019;0.314078645;2.59
East Timor;TLS;2019;0.027914792;3.8
Ecuador;ECU;2019;0.176121877;0.57
Egypt;EGY;2019;2.323820655;0.04
El Salvador;SLV;2019;0.035116886;2.71
Equatorial Guinea;GNQ;2019;0.015221688;2.97
Eritrea;ERI;2019;0.136122654;0.13
Estonia;EST;2019;0.000971287;0.76
Fiji;FJI;2019;0.006245376;7.54
Finland;FIN;2019;0.004242906;0.0
France;FRA;2019;0.044970594;0.56
French Guiana;GUF;2019;0.00020397;2.18
Gabon;GAB;2019;0.009698302;0.7
Gambia;GMB;2019;0.056812203;0.67
Georgia;GEO;2019;0.000496975;1.23
Germany;DEU;2019;0.082034911;0.26
Ghana;GHA;2019;0.84178542;0.28
Greece;GRC;2019;0.007294366;0.91
Grenada;GRD;2019;0.002196728;5.99
Guadeloupe;GLP;2019;0.000262248;4.35
Guatemala;GTM;2019;0.503455354;1.74
Guinea;GIN;2019;0.239579303;0.0
Guinea-Bissau;GNB;2019;0.033128985;2.36
Guyana;GUY;2019;0.04462255;0.89
Haiti;HTI;2019;0.385225428;2.95
Honduras;HND;2019;0.236338442;1.48
Hong Kong;HKG;2019;0.009358352;4.51
Iceland;ISL;2019;0.000244441;0.0
India;IND;2019;21.03500357;0.45
Indonesia;IDN;2019;1.334279799;4.45
Iran;IRN;2019;0.802874039;0.07
Iraq;IRQ;2019;0.796084742;0.01
Ireland;IRL;2019;0.004330322;2.97
Israel;ISR;2019;0.00981;0.29
Italy;ITA;2019;0.062814758;0.88
Jamaica;JAM;2019;0.080411243;5.07
Japan;JPN;2019;0.057765683;3.58
Jordan;JOR;2019;0.201420669;0.07
Kazakhstan;KAZ;2019;0.087807594;0.1
Kenya;KEN;2019;0.469321086;0.17
Kiribati;KIR;2019;0.000119792;0.0
Kuwait;KWT;2019;0.004273663;0.2
Latvia;LVA;2019;0.001545965;0.5
Lebanon;LBN;2019;0.075472248;1.27
Lesotho;LSO;2019;0.049197312;0.0
Liberia;LBR;2019;0.064639159;3.68
Libya;LBY;2019;0.3052027;0.06
Lithuania;LTU;2019;0.001678708;0.21
Macau;;2019;0.023875857;1.62
Madagascar;MDG;2019;0.040875;1.58
Malaysia;MYS;2019;1.318447818;4.38
Maldives;MDV;2019;9.71e-05;0.0
Malta;MLT;2019;0.000419272;0.0
Marshall Islands;MHL;2019;2.59e-05;0.0
Martinique;MTQ;2019;0.000225015;10.11
Mauritania;MRT;2019;0.033664812;0.1
Mauritius;MUS;2019;0.000484025;0.0
Mexico;MEX;2019;0.697083063;0.46
Micronesia;;2019;0.000723609;5.0
Monaco;MCO;2019;8.09e-06;0.0
Montenegro;MNE;2019;2.59e-05;2.08
Morocco;MAR;2019;0.478339488;0.15
Mozambique;MOZ;2019;0.703263687;0.36
Myanmar;MMR;2019;0.703263687;0.36
Namibia;NAM;2019;0.033820218;0.05
Netherlands;NLD;2019;0.024659362;1.54
New Zealand;NZL;2019;0.002774644;3.78
Nicaragua;NIC;2019;0.179464724;2.08
Nigeria;NGA;2019;3.154983431;0.42
North Korea;PRK;2019;0.000521257;0.69
Norway;NOR;2019;0.002418505;0.0
Oman;OMN;2019;0.002025134;0.11
Pakistan;PAK;2019;2.179665456;0.02
Palau;PLW;2019;0.000187782;13.74
Palestine;PSE;2019;0.003446451;9.29
Panama;PAN;2019;0.058826005;7.12
Papua New Guinea;PNG;2019;0.193509536;4.39
Peru;PER;2019;0.227140353;0.05
Philippines;PHL;2019;6.516203498;7.17
Poland;POL;2019;0.022864099;0.13
Portugal;PRT;2019;0.006180624;0.84
Puerto Rico;PRI;2019;0.002093124;5.77
Qatar;QAT;2019;0.00248002;0.07
Reunion;REU;2019;0.000377183;0.0
Romania;ROU;2019;0.084438847;0.04
Russia;RUS;2019;0.588258434;0.12
Saint Kitts and Nevis;KNA;2019;0.000157025;2.52
Saint Lucia;LCA;2019;0.00692204;7.92
Saint Martin;;2019;1.3e-05;0.0
Saint Vincent and the Grenadines;VCT;2019;0.001999233;7.19
Samoa;WSM;2019;0.002813495;0.0
Sao Tome and Principe;STP;2019;0.003349322;3.67
Saudi Arabia;SAU;2019;0.011616594;0.06
Senegal;SEN;2019;0.106291189;0.21
Seychelles;SYC;2019;5.34e-05;0.0
Sierra Leone;SLE;2019;0.147698778;3.09
Singapore;SGP;2019;0.003995228;10.49
Sint Maarten;;2019;4.86e-06;0.0
Slovakia;SVK;2019;0.002782738;0.0
Slovenia;SVN;2019;0.001366277;1.13
Solomon Islands;SLB;2019;0.005698218;10.34
Somalia;SOM;2019;6.8e-05;0.14
South Africa;ZAF;2019;1.146874803;0.12
South Korea;KOR;2019;0.019678277;1.59
Spain;ESP;2019;0.032942822;0.36
Sri Lanka;LKA;2019;0.251670209;3.42
Sudan;SDN;2019;1.265303843;0.01
Suriname;SUR;2019;0.037124213;0.85
Sweden;SWE;2019;0.006888045;1.03
Syria;SYR;2019;0.000812644;0.12
Taiwan;TWN;2019;0.012144327;5.64
Tanzania;TZA;2019;2.778528727;0.22
Thailand;THA;2019;2.204319961;0.9
Togo;TGO;2019;0.197143768;0.17
Tonga;TON;2019;0.001078129;0.0
Trinidad and Tobago;TTO;2019;0.118398283;5.05
Tunisia;TUN;2019;0.468707557;0.18
Turkey;TUR;2019;2.680930558;0.37
Ukraine;UKR;2019;0.637450889;0.1
United Arab Emirates;ARE;2019;0.008312599;0.18
United Kingdom;GBR;2019;0.048425139;3.02
United States;USA;2019;0.432981997;0.35
Uruguay;URY;2019;0.149934357;0.52
Venezuela;VEN;2019;1.086920486;0.39
Vietnam;VNM;2019;1.801397682;1.6
Western Sahara;ESH;2019;0.006659792;0.11
Yemen;YEM;2019;0.472267324;0.07
Zimbabwe;ZWE;2019;0.849657702;0.0